Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Верховинець,Юхим,Святославович,Чоловіча,01.01.1959,Дерун,село Городенка,"вулиця Лінія 39-та, буд. 230 кв. 121, Єнакієве, 54334",338-72-11,qdotsenko@example.net
Єрошенко,Болеслав,Іванович,Чоловіча,20.11.2001,Електрик,хутір Тернівка ,"вулиця Трудових резервів, буд. 96, Тиврів, 54858",+380 05 292 78 94,skyrdabohdan@example.com
Баштан,Демʼян,Ярославович,Чоловіча,22.02.1968,Доцент,селище Вугледар,"парк Наклонна, буд. 2, Слов'янськ, 12425",001 573-65-44,iakiv10@example.net
Єрченко,Єфрем,Григорійович,Чоловіча,11.12.1941,Психолог,місто Вараш,"шосе Краснослобідський, буд. 03 кв. 2, Чорноморськ, 71537",039 827-14-49,zzabila@example.com
Дуплій,Валентин,Антонович,Чоловіча,14.03.1940,Зоолог,село Краматорськ,"узвіз 40-річчя оборони Одеси, буд. 667 кв. 7, Нововолинськ, 68335",+380 12 680 70 48,hodunokfeofan@example.com
Адамчук,Віктор,Венедиктович,Чоловіча,23.03.1961,Клавішник,місто Кропивницький,"парк Маринеско узвіз, буд. 124 кв. 8, Вишневе , 58766",994-40-38,marusia30@example.com
Баран,Дан,Стефанович,Чоловіча,17.10.1965,Мінералог,хутір Ірміно,"провулок Уральський, буд. 69, Монастириська, 71931",+380 20 349-33-65,hutsuliakvolodymyr@example.net
Сімашкевич,Гаврило,Мартинович,Чоловіча,21.07.1952,Різноробочий,селище Шепетівка,"площа Лінія 37-ма, буд. 8 кв. 8, Запоріжжя, 96262",+380 39 639-54-53,stanislavdubas@example.org
Бабко,Альберт,Костянтинович,Чоловіча,06.06.1955,Круп'є,хутір Нова Каховка,"узвіз Гоголя, буд. 6, Дебальцеве, 99662",000 103 08 67,nestor43@example.org
Якименко,Устим,Леонідович,Чоловіча,11.11.1938,Гірник,село Новоселиця,"набережна Жоліо-Кюрі, буд. 3, Донецьк, 82091",284 22 27,valerii12@example.com
Устенко,Єфрем,Трохимович,Чоловіча,05.11.1958,Пекар,селище Белз,"узвіз Ляпідевського, буд. 219 кв. 906, Перещепине, 80004",+380 (51) 925-73-66,nhaievskyi@example.net
Єрошенко,Святослав,Алевтинович,Чоловіча,18.08.1977,Публіцист,село Рудки,"узвіз Садова 3-тя, буд. 100 кв. 185, Пустомити, 31863",043 007 13 36,dankivanton@example.org
Опанасенко,Орхип,Панасович,Чоловіча,14.12.1965,Підприємець,хутір Вугледар,"провулок Глиняна, буд. 1, Старобільськ, 46417",+380 (43) 041-04-01,viacheslav98@example.com
Вернигора,Віталій,Захарович,Чоловіча,17.12.1940,Письменник,хутір Карлівка,"провулок Гагаріна, буд. 544, Вознесенівка, 09927",031 509 43 46,vanchenkodaryna@example.com
Ващенко-Захарченко,Юхим,Семенович,Чоловіча,06.07.1995,Історик,місто Маріуполь,"провулок Санаторний, буд. 470 кв. 1, Ямпіль, 26099",+380 88 130-25-74,gerusklavdiia@example.org
Перебийніс,Ярема,Тимофійович,Чоловіча,06.11.1973,Будник,хутір Кипуче,"шосе Азербайджан, буд. 378 кв. 0, Моспине, 26262",267-26-19,schalenko@example.com
Парасюк,Максим,Амвросійович,Чоловіча,31.05.2006,Менеджер,селище Вашківці,"шосе Кінна, буд. 0 кв. 8, Білопілля, 11327",454-03-42,ostapderevianko@example.com
Ковалюк,Венедикт,Августинович,Чоловіча,30.05.1996,Каскадер,хутір Помічна,"узвіз Сумська, буд. 18, Підгородне, 86252",+380 21 703-29-20,andrii33@example.net
Бебешко,Омелян,Едуардович,Чоловіча,15.01.1968,Ді-джей,село Дубляни,"площа Троїцького Миколи, буд. 767 кв. 0, Географія Вільнянська, 07995",071 758-72-95,varvarashtepa@example.com
Теліженко,Валерій,Трохимович,Чоловіча,21.07.1969,Перекладач,хутір Підгайці,"набережна Студентський 5-й, буд. 701, Умань, 87482",018 885 34 13,dmytrodanko@example.net
Заїка,Леонтій,Сергійович,Чоловіча,16.11.2001,Підприємець,хутір Кодима,"площа Тещин міст, буд. 82, Євпаторія, 92604",+380 71 668-36-54,ievhen33@example.net
Матвієнко,Вʼячеслав,Яковович,Чоловіча,16.03.1968,Парфюмер,село Вугледар,"площа Естонський, буд. 14 кв. 8, Бобринець, 60111",+380 06 963-21-26,bohuslavaostapchuk@example.net
Архипенко,Венедикт,Лукʼянович,Чоловіча,13.03.1979,Краєзнавець,хутір Покровськ,"парк Нежданової, буд. 6, Пологи , 78382",008 831-59-21,arkhymovychorysia@example.net
Вакуленко,Борислав,Богуславович,Чоловіча,24.05.1971,Зоолог,село Вугледар,"шосе Нафтовиків 3-й, буд. 14 кв. 12, Костянтинівка, 25548",488-97-50,dzhusfeofan@example.com
Гук,Пилип,Веніяминович,Чоловіча,31.07.1973,Піаніст,село Хуст,"шосе Мукачівський, буд. 689 кв. 4, Зборів, 66710",170-16-94,leon07@example.com
Ґерус,Леонід,Станіславович,Чоловіча,27.09.1984,Каскадер,село Татарбунари,"площа Середня, буд. 871, Золочів, 33004",+380 (13) 095-21-69,zsavenko@example.com
Жук,Олександр,Бориславович,Чоловіча,23.05.1997,Штукатур,селище Ананьїв,"вулиця Отрадна, буд. 97 кв. 49, Чуднів, 79182",046 776 57 30,vitaliimishchenko@example.org
Бабко,Пармен,Йосипович,Чоловіча,14.02.1979,Адвокат,хутір Моспине,"сквер Павлова, буд. 151, Запоріжжя, 32153",+380 68 644-74-03,oleksandr73@example.com
Колесниченко,Святослав,Яковович,Чоловіча,28.03.1967,Мікробіолог,селище Пирятин,"площа Марсельська, буд. 0, Луганськ, 76265",+380 (42) 912-20-00,stefan02@example.com
Зайченко,Геннадій,Демидович,Чоловіча,11.12.2003,Випробувач,селище Ладижин,"парк Азовський, буд. 0, Броди, 75258",267 19 58,mandreiko@example.com
Ященко,Адам,Єфремович,Чоловіча,05.02.1938,Агроном,місто Балаклія,"сквер Стамбульський, буд. 8 кв. 50, Умань, 42614",+380 92 738 59 85,androshchukteodor@example.com
Бабій,Леопольд,Віталійович,Чоловіча,14.06.1997,Маркетолог,місто Вашківці,"парк Станційна 3-тя, буд. 2, Умань, 73783",016 162 24 20,azarprotsenko@example.net
Івасюк,Олекса,Юстимович,Чоловіча,26.04.1976,Музичний редактор,село Арциз,"сквер Першотравневий 1-й, буд. 5 кв. 6, Славутич, 71311",909-26-72,liatseniuk@example.net
Худобʼяк,Демид,Антонович,Чоловіча,03.12.1961,Акушер,місто Чорноморськ,"парк Гонтаренко, буд. 85 кв. 09, Новодружеськ, 19628",+380 (58) 364-14-73,eiushchenko@example.net
Зарудний,Едуард,Йосипович,Чоловіча,14.04.1989,Модельєр,хутір Білгород-Дністровський,"вулиця Тещин міст, буд. 3 кв. 10, Василівка , 51746",+380 (13) 058-82-15,orlykzlatoslava@example.net
Аврамчук,Петро,Омелянович,Чоловіча,26.03.1998,Математик,хутір Христинівка,"площа Виноградний тупик, буд. 0, Скадовськ, 14740",825 54 68,iosypzatovkaniuk@example.net
Башполченко,Данило,Болеславович,Чоловіча,21.10.1980,Драматург,село Золочів,"парк Академіка Гаркавого, буд. 2 кв. 061, Мала Виска, 41577",858-02-74,airvanets@example.org
Палій,Демʼян,Орхипович,Чоловіча,21.10.1989,Реставратор,селище Угнів,"площа Марії Демченко, буд. 763, Південне , 59993",+380 86 858-88-52,emiliia30@example.org
Гупало,Григорій,Пантелеймонович,Чоловіча,17.07.1995,Фольклорист,місто Хмільник,"парк Верстатобудівна, буд. 3, Верхньодніпровськ, 81152",077 075-94-60,aiakymenko@example.com
Чарниш,Амвросій,Данилович,Чоловіча,24.08.1968,Фермер,село Хоростків,"площа Єрмака, буд. 751, Шахтарськ, 78305",+380 08 531-25-20,gpushkar@example.net
